Country,Year,Origin,Asylum
Middle East & North Africa (IDA & IBRD countries),2017,6866656,6824725
Middle East & North Africa (IDA & IBRD countries),2018,7246723,6863538
Middle East & North Africa (IDA & IBRD countries),2019,7182022,6848435
Middle East & North Africa (IDA & IBRD countries),2020,7268711,6585643
Middle East & North Africa (IDA & IBRD countries),2021,7445168,6548984
Morocco,2010,2276,798
Morocco,2011,2305,736
Morocco,2012,2394,745
Morocco,2013,1290,1458
Morocco,2014,1523,1205
Morocco,2015,1760,3899
Morocco,2016,2240,4762
Morocco,2017,3089,4703
Morocco,2018,3873,5932
Morocco,2019,4642,6642
Morocco,2020,4467,6505
Morocco,2021,5385,7272
Oman,2010,62,78
Oman,2011,58,83
Oman,2012,62,138
Oman,2013,20,138
Oman,2014,25,150
Oman,2015,36,244
Oman,2016,35,316
Oman,2017,39,308
Oman,2018,42,310
Oman,2019,42,308
Oman,2020,47,308
Oman,2021,53,295
Qatar,2010,109,51
Qatar,2011,93,80
Qatar,2012,123,80
Qatar,2013,15,130
Qatar,2014,23,132
Qatar,2015,21,117
Qatar,2016,25,176
Qatar,2017,31,188
Qatar,2018,30,189
Qatar,2019,36,202
Qatar,2020,33,201
Qatar,2021,47,197
Saudi Arabia,2010,659,578
Saudi Arabia,2011,733,595
Saudi Arabia,2012,811,575
Saudi Arabia,2013,575,557
Saudi Arabia,2014,616,559
Saudi Arabia,2015,686,122
Saudi Arabia,2016,937,136
Saudi Arabia,2017,1219,153
Saudi Arabia,2018,1492,263
Saudi Arabia,2019,1721,315
Saudi Arabia,2020,2003,330
Saudi Arabia,2021,2167,333
Syrian Arab Republic,2010,18451,1482272
Syrian Arab Republic,2011,19931,1242381
Syrian Arab Republic,2012,729011,975685
Syrian Arab Republic,2013,2468323,666541
Syrian Arab Republic,2014,3887490,677751
Syrian Arab Republic,2015,4873236,555766
Syrian Arab Republic,2016,5524511,562821
Syrian Arab Republic,2017,6310498,571298
Syrian Arab Republic,2018,6654374,578956
Syrian Arab Republic,2019,6615249,578525
Syrian Arab Republic,2020,6702910,584034
Syrian Arab Republic,2021,6848845,589542
Tunisia,2010,2159,86
Tunisia,2011,1930,4085
Tunisia,2012,1918,1433
Tunisia,2013,1359,727
Tunisia,2014,1476,895
Tunisia,2015,1554,659
Tunisia,2016,1687,646
Tunisia,2017,1826,726
Tunisia,2018,1985,1061
Tunisia,2019,2068,1732
Tunisia,2020,1636,2580
Tunisia,2021,2201,3186
United Arab Emirates,2010,418,538
United Arab Emirates,2011,484,675
United Arab Emirates,2012,580,628
United Arab Emirates,2013,84,602
United Arab Emirates,2014,84,419
United Arab Emirates,2015,91,663
United Arab Emirates,2016,103,888
United Arab Emirates,2017,137,884
United Arab Emirates,2018,169,1167
United Arab Emirates,2019,155,1242
United Arab Emirates,2020,181,1315
United Arab Emirates,2021,160,1355
West Bank and Gaza,2010,93312,1841769
West Bank and Gaza,2011,94141,1895043
West Bank and Gaza,2012,94916,1944544
West Bank and Gaza,2013,96035,1994493
West Bank and Gaza,2014,97207,2051096
West Bank and Gaza,2015,98013,2104001
West Bank and Gaza,2016,97794,2158274
West Bank and Gaza,2017,99630,2214783
West Bank and Gaza,2018,100728,2267747
West Bank and Gaza,2019,96253,2319073
West Bank and Gaza,2020,100153,2348243
West Bank and Gaza,2021,103581,2400208
"Yemen, Rep.",2010,2070,190088
"Yemen, Rep.",2011,2321,214736
"Yemen, Rep.",2012,2582,237176
"Yemen, Rep.",2013,2413,241281
"Yemen, Rep.",2014,2623,257637
"Yemen, Rep.",2015,15901,267163
"Yemen, Rep.",2016,18427,269778
"Yemen, Rep.",2017,23555,270913
"Yemen, Rep.",2018,31145,264359
"Yemen, Rep.",2019,36522,268503
"Yemen, Rep.",2020,32433,166906
"Yemen, Rep.",2021,37611,89467
